山下 裕史	プロップ
中島 イシレリ	プロップ
渡邉 隆之	プロップ
具 智元	プロップ
髙尾 時流	プロップ
前田 翔	プロップ
森脇 光	プロップ
カウヴァカ・カイヴェラタ	プロップ
大下 貴志	プロップ	NEW FACE（2026年度新加入）
富田 陸	プロップ	NEW FACE（2026年度新加入）
アッシュ・ディクソン	フッカー
北出 卓也	フッカー
松岡 賢太	フッカー
シオネ・シメ・マウ	フッカー
宮内 慶大	フッカー
ブロディ・レタリック	ロック	CAPTAIN
小瀧 尚弘	ロック
ジェラード・カウリートゥイオティ	ロック
カヴァイア・タギヴェタウア	ロック
ワイサケ・ララトゥブア	ロック
本橋 拓馬	ロック
ニール・ハンセン	ロック
橋本 皓	フランカー
前田 剛	フランカー
今村 陽良	フランカー
ソセフォ・ファカタヴァ	フランカー
福西 隼杜	フランカー
ソロモネ・フナキ	フランカー
ニク・ヘンリク	フランカー	NEW FACE（2026年度新加入）
アーディ・サべア	ナンバーエイト
ティエナン・コストリー	ナンバーエイト
ヴィリー・ポトヒエッター	ナンバーエイト
シオネ・ポルテレ	ナンバーエイト	NEW FACE（2026年度新加入）
日和佐 篤	スクラムハーフ
徳田 健太	スクラムハーフ
中嶋 大希	スクラムハーフ
上村 樹輝	スクラムハーフ
ブリン・ガットランド	スタンドオフ
ラファエレ ティモシー	センター
マイケル・リトル	センター
アントン・レイナートブラウン	センター
タリロトゥ・ファカトゥロロ	センター
ハリス マック	センター
大町 佳生	センター	NEW FACE（2026年度新加入）
タリ・イオアサ	センター
アタアタ・モエアキオラ	ウイング
イノケ・ブルア	ウイング
杉本 崇馬	ウイング
濱野 隼大	ウイング
船曳 涼太	ウイング
植田 和磨	ウイング
井関 信介	フルバック
松永 貫汰	フルバック
李 承信	ユーティリティバックス	CAPTAIN
伊藤 大祐	ユーティリティバックス
辻野 隼大	ユーティリティバックス
上ノ坊 駿介	ユーティリティバックス	NEW FACE（2026年度新加入）
KOROKUN
TEAM STAFF

中森 慶太郎	ラグビーセンター担当役員
廣畑 純也	ディレクター
弘津 英司	チームディレクター
ウェイン・スミス	ラグビーコーチメンター/ チームアンバサダー
デイブ・レニー	ディレクターオブラグビー / ヘッドコーチ
ダン・マクファーランド	FWコーチ
マイク・ブレア	アタックコーチ
ピート・マーチィ	ディフェンスコーチ
森田 恭平	BKコーチ/アカデミーコーチ
平島 久照	スクラムコーチ
クレイグ・スチュワート	スキルコーチ
フィル・ヒーリー	ヘッドアスレティック パフォーマンスコーチ
ヘイデン・ネルソン	シニアS&Cコーチ
中村 龍	S&Cコーチ
佐々木 貴大	アシスタントS&Cコーチ
藤 高之	チームマネージャー
沢居 寛也	アシスタントチームマネージャー
白原 真菜美	チーフアドミニストレーター
白原 翠	アドミニストレーター
田中 大治郎	チームメディアマネージャー
今村 順一	普及・アカデミーコーチ
長崎 健太郎	普及・アカデミーコーチ
山本 幸輝	普及・アカデミーコーチ
松井 祥寛	リクルート
ジョー・ラッシュ	インターナショナルリレーションズ&コントラクトマネージャー
山口 奨	コーディネーター
濱本 聡仁	通訳
尾崎 悠馬	通訳
アラン・ホッジ	ヘッドアナリスト
山家 壮貴	アナリスト
森松 禅太	アナリスト
五明 浩一郎	チーフアスレティックトレーナー
谷山 大季	アスレティックトレーナー
佐藤 秀幸	アスレティックトレーナー
脇田 涼平	アスレティックトレーナー
西村 彰悟	セラピスト
佐藤 涼芳	プレーヤーライフサポート
木戸 清香	栄養士
増保 輝則	アドバイザー
大畑 大介	アンバサダー
黒田 良祐	チームドクター
松本 彰生	チームドクター
河本 旭哉	チームドクター
星野 祐一	チームドクター
黒田 雄一	チームドクター
亀長 智幸	チームドクター
廣畑 純也	ラグビーセンター長(兼)事業運営グループ長
中澤 聡	企画管理グループ長
安藤 雅康	企画管理グループ
中居 敏紀	企画管理グループ
石橋 周子	企画管理グループ
橋本 みさき	企画管理グループ
村上 正幸	事業運営グループ営業チームリーダー
灘井 康夫	事業運営グループ営業チーム
勝木 来幸	事業運営グループ営業チーム
信太 小百合	事業運営グループ営業チーム
三好 友博	事業運営グループマーケティングチームリーダー
長崎 健太郎	事業運営グループマーケティングチーム
平郡 雄祐	事業運営グループマーケティングチーム
安田 ななえ	事業運営グループマーケティングチーム
岸川 嘉人	事業運営グループマーケティングチーム
吉村 泰輔	事業運営グループ広報チームリーダー
田中 大治郎	事業運営グループ広報チーム
坂下 莉沙子	事業運営グループ広報チーム
本田 康信	普及グループ長
市来 大典	普及グループ渉外チームリーダー
板東 那奈	普及グループ渉外チーム
今村 順一	普及グループ普及チームリーダー
武藤 規夫	普及グループ普及チーム
小牧 慶太	普及グループ普及チーム
